,boolean,int,identifier,procedure,right_parenteses,left_parenteses,variable,colon,semicolon,comma,$
PDV,DV PDV′,DV PDV′,,,,,,,,
PDV′,,,,,,,,semicolon DV PDV′,,erro
DV,T LI,T LI,,,,,,,erro,,erro
T,boolean,int,sinc,sinc,sinc,sinc,sinc,sinc,sinc,sinc,sinc
LI,,,I LI′,,,,sinc,sinc,,sinc
LI′,,,,,,,erro,erro,comma identifier LI′,erro
PDS,,,,DP semicolon PDS,,,,,,erro
DP,,,,procedure I PF_opt semicolon B,,,,sinc,,sinc
PF_opt,,,,,PF,,,,erro,,
PF,,,,,right_parenteses SPF_list left_parenteses,,sinc,,
SPF_list,,,SPF SPF_list′,,,SPF SPF_list′,,,,SPF SPF_list′
SPF_list′,,,,,erro,,semicolon SPF SPF_list′,,erro
SPF,,,LI colon I,,,,variable LI colon I,,sinc,
I,,,identifier,,sinc,sinc,,sinc,sinc,sinc,sinc
